citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
11,C00-2123.xml,N03-1010.xml,"Using the same evaluation metric (but different evaluation data), Wang and Waibel (1997) report search error rates of 7.9% and 9.3%, respectively, for their decoders.",Och et al.(2001) and Germann et al.(2001) both implemented optimal decoders and benchmarked approximative algorithms against them.,"Och et al. report word error rates of 68.68% for optimal search (based on a variant of the A* algorithm), and 69.65% for the most restricted version of a decoder that combines dynamic programming with a beam search (Tillmann and Ney, 2000).","Germann et al.(2001) compare translations obtained by a multi-stack decoder and a greedy hill-climbing algorithm against those produced by an optimal integer programming decoder that treats decoding as a variant of the traveling-salesman problem (cf.Knight, 1999).",Their overall performance metric is the sentence error rate (SER).,Single Citance
12,C00-2123.xml,P01-1027.xml,"Depending on whether the translated sentence is longer or shorter than the target translation, the remaining words result in either insertion or deletion errors in addition to substitution errors.",The PER is guaranteed to be less than or equal to the WER.,"We use the top-10 list of hypothesis provided by the translation system described in (Tillmann and Ney, 2000) for rescoring the hypothesis using the ME models and sort them according to the new maximum entropy score.",The translation results in terms of error rates are shown in Table 8.,We use Model 4 in order to perform the translation experiments because Model 4 typically gives better translation results than Model 5.,Single Citance
13,C00-2123.xml,P03-1039.xml,We directly applied the Lexicon Model and Fertility Model to the chunk-based translation model but set other parameters as uniform.,"Table 1: Basic Travel Expression Corpus Japanese English # of sentences 171,894 3.4 Decoding.","The decoding algorithm employed for this chunk + weight Ã— j f req(EA j , J j ) based statistical translation is based on the beam search algorithm for word alignment statistical in which Ptm(J|E) and Plm (E) are translationmodel and language model probability, respec translation presented in (Tillmann and Ney, 2000), tively1 , f req(EA j , J j ) is the frequency for the which generates outputs in left-to-right order by consuming input in an arbitrary order.",The decoder consists of two stages: 1.,Generate possible output chunks for all possi-.,Single Citance
14,C00-2123.xml,P03-1039.xml,Generate hypothesized output by consuming.,input chunks in arbitrary order and combining possible output chunks in left-to-right order.,"The generation of possible output chunks is estimated through an inverted lexicon model and sequences of inserted strings (Tillmann and Ney, 2000).","In addition, an example-based method is also introduced, which generates candidate chunks by looking up the viterbi chunking and alignment from a training corpus.","Since the combination of all possible chunks is computationally very expensive, we have introduced the following pruning and scoring strategies.",Single Citance
15,C00-2123.xml,W01-1404.xml,"The advantage is increased processing speed, which benefits real- time applications involving spoken language.",Several studies have investigated automatic or partly automatic learning of transductions for machine translation.,"Some of these studies have concentrated on finite-state or extended finite-state machinery, such as (Vilar and others, 1999), others have chosen models closer to context-free grammars and context-free transduction, such as (Alshawi et al., 2000; Watanabe et al., 2000; Yamamoto and Matsumoto, 2000), and yet other studies cannot be comfortably assigned to either of these two frameworks, such as (Brown and others, 1990) and (Tillmann and Ney, 2000).",In this paper we will investigate both context- free and finite-state models.,"The basis for our study is context-free transduction since that is a powerful model of translation, which can in many cases adequately describe the changes of word The second address is the current contact address; supported by the Royal Netherlands Academy of Arts and Sciences; current secondary affiliation is the German Research Center for Artificial Intelligence (DFKI).",Multi Citance
16,C00-2123.xml,W01-1407.xml,Table 3: Statistics of the Verbmobil test corpus for German-to-English translation.,Unknowns are word forms not contained in the training corpus.,"We used a translation system called â€œsingle- word based approachâ€ described in (Tillmann and Ney, 2000) and compared to other approaches in (Ney et al., 2000).","7.3.1 Lexicon Combination So far we have performed experiments with hierarchical lexica, where two levels are combined, i.e. in Equation (2) is set to 1.","and are set to and is modeled as a uniform distribution over all derivations of the lemma occurring in the training data plus the base form itself, in case it is not contained.",Multi Citance
17,C00-2123.xml,W01-1408.xml,"The trigram language model we use has the property that if the count of the bigram N (u, v) = 0, then the probability P (w|u, v) depends only on v. In this case the recombination can be significantly improved by recombining all nodes whose language model state has the property N (u, v) = 0 only with respect to v. Obviously, this could be generalized to other types of language models as well.","Experiments have shown that by using this efficient recombination, the number of needed hypotheses can be reduced by about a factor of 4.","Search algorithms We evaluate the following two search algorithms: â€¢ beam search algorithm (BS): (Tillmann, 2001; Tillmann and Ney, 2000) In this algorithm the search space is explored in a breadth-first manner.",The search algorithm is based on a dynamic programming approach and applies various pruning techniques in order to restrict the number of considered hypotheses.,"For more details see (Tillmann, 2001).",Multi Citance
18,C00-2123.xml,W02-1020.xml,"To model word-sequence probabilities, we apply the chain rule: where J is the number of tokens in s and V is the size of the target-language vocabulary.","Compared to an equivalent noisy-channel combination of the form p(t)p(s|t), where t is the target sentence, our model is faster but less accurate.","It is faster because the search problem for noisy- channel models is NP-complete (Knight, 1999), and even the fastest dynamic-programming heuristics used in statistical MT (Niessen et al., 1998; Till- mann and Ney, 2000), are polynomial in J —for in p(v1, w2, wm−1, um|h, s) = stance O(mJ 4V 3) in (Tillmann and Ney, 2000).","It m−1 p(v1|h, s) n p(wi|h, v1, wi−1, s) × i=2 p(um|h, v1, wm−1, s).",(3) The probabilities of v1 and um can be expressed in terms of word probabilities as follows.,Multi Citance
19,C02-1025.xml,C10-2104.xml,"Complementary context In supervised learning, NER systems often suffer from low recall, which is caused by lack of both resource and context.","For example, a word like “Arkansas” may not appear in the training set and in the test set, there may not be enough context to infer its NE tag.","In such cases, neither global features (Chieu and Ng, 2002) nor aggregated contexts (Chieu and Ng, 2003) can help.","To overcome this deficiency, we employed the following unsupervised procedure: first, the baseline NER is applied to the target un-annotated corpus.","Second, we associate each word of the corpus with the most frequent NE category assigned in the previous step.",Multi Citance
20,C02-1025.xml,C10-2167.xml,Statistics from the corpus are used to determine the confidence scores of the extraction.,"In general information extraction, there are two approaches: rule-based and statistical.Early extraction systems are mainly based on rules (e.g., Riloff, 1993).","In statistical methods, the most popular models are Hidden Markov Models (HMM) (Rabiner, 1989), Maximum Entropy Models (ME) (Chieu et al., 2002) and Conditional Random Fields (CRF) (Lafferty et al., 2001).",CRF has been shown to be the most effective method.,"It was used in (Stoyanov et al., 2008).",Multi Citance
21,C02-1025.xml,I05-3013.xml,"It typically aims to recognize names for person, organization, location, and expressions of number, time and cur rency.",The objective is achieved by employing either handcrafted knowledge or supervised learning techniques.,"The latter is currently dominating in NER amongst which the most popular methods are decision tree (Sekine et al., 1998; Pailouras et al., 2000), Hidden Markov Model (Zhang et al., 2003; Zhao, 2004), maximum entropy (Chieu and Ng, 2002; Bender et al., 2003), and support vector machines (Isozaki and Kazawa, 2002; Takeuchi and Collier, 2002; Mayfield, 2003).From the linguistic perspective, NIL expres sions are rather different from named entities in nature.","Firstly, named entity is typically noun or noun phrase (NP), but NIL expression can be any kind, e.g. number “94” in NIL represents “ህᰃ” which is a verb meaning “exactly be”.","Secondly, named entities often have well-defined meanings in text and are tractable from a standard dictionary; but NIL expressions are either unknown to the dictionary or ambiguous.",Multi Citance
22,C02-1025.xml,I05-3030.xml,"The same as other modules, it is defined over HhT in segmentation T # arg max P(W | T )P(T | T ) , i i T1T2 Tn i 1 i i 1 disambiguation, where H is the set of possible contexts around target word that will be tagged, where Ti represents the tag of current word, and T is the set of allowable tags.",Then the Viterbi algorithm is used to search the best path.,"modelâ€™s conditional probability is defined as Another model is Maximum Entropy (Zhao Jian 2005, Hai Leong Chieu 2002).",Take Chinese person name as example.,"Firstly, we combine p(t | h) p(h, t ) ¦t 'T p(h, t ' ) , where HMM and Maximum Entropy (ME) model to lable the person name tag, e.g. “ྮ/CPB 䪰/CPI ṙ/CPI” (Tongmei Yao); Secondly, the tagged p(h, t) k SP D j 1 f j ( h,t ) j name is merged by combining ME Model and Support Vector Machine (SVM) and some aided rules, e.g. merged into “ྮ/䪰ṙ” in PKU test.",Multi Citance
23,C02-1025.xml,P03-1028.xml,Seed Word The sentence of the current slot fill contains a seed word for a different incident type.,"A number of seed words are automatically learned for each of the incident types ATTACK, BOMBING, and KIDNAPPING.","They are automatically derived based on the correlation metric value used in (Chieu and Ng, 2002a).","For the remaining incident types, there are too few incidents in the training data for seed words to be collected.",The seeds words used are shown in Table 2.,Single Citance
24,C02-1025.xml,P03-1028.xml,"The one notable exception is the work of UMass at MUC6 (Fisher et al., 1995).","Unfortunately, their learning approach did considerably worse than the best MUC6 systems.","Soder- land (1999) and Chieu and Ng (2002a) attempted machine learning approaches for a scaled-down version of the ST task, where it was assumed that the information needed to fill one template came from one sentence only.","In this paper, we present a learning approach to the full-scale ST task of extracting information from free texts.","The task we tackle is considerably more complex than that of (Soderland, 1999; Chieu and Ng, 2002a), since we need to deal with merging information from multiple sentences to fill one template.",Single Citance
25,C02-1025.xml,P05-1045.xml,"Instead of finding the maximum likelihood sequence over the entire document, they classify one sentence at a time, allowing them to condition on the maximum likelihood sequence of previous sentences.","This approach is quite effective for enforcing label consistency in many NLP tasks, however, it permits a forward flow of information only, which is not sufficient for all cases of interest.","Chieu and Ng (2002) propose a solution to this problem: for each token, they define additional features taken from other occurrences of the same token in the document.",This approach has the added advantage of allowing the training procedure to automatically learn good weightings for these “global” features relative to the local ones.,"However, this approach cannot easily be extended to incorporate other types of non-local structure.",Single Citance
26,C02-1025.xml,P05-1051.xml,People have spent considerable effort in engineering appropriate features to improve performance; most of these involve internal name structure or the immediate local context of the name.,Some other named entity systems have explored global information for name tagging.,"(Borthwick, 1999) made a second tagging pass which uses information on token sequences tagged in the first pass; (Chieu and Ng, 2002) used as features information about features assigned to other instances of the same token.Recently, in (Ji and Grishman, 2004) we pro posed a name tagging method which applied an SVM based on coreference information to filter the names with low confidence, and used coreference rules to correct and recover some names.","One limitation of this method is that in the process of discarding many incorrect names, it also discarded some correct names.",We attempted to recover some of these names by heuristic rules which are quite language specific.,Multi Citance
27,C02-1025.xml,W03-0423.xml,"In this year’s CoNLL, the NER task is to tag noun phrases with the following four classes: person (PER), organization (ORG), location (LOC), and miscellaneous (MISC).","This paper presents a maximum entropy approach to the NER task, where NER not only made use of local context within a sentence, but also made use of other occurrences of each word within the same document to extract useful features (global features).","Such global features enhance the performance of NER (Chieu and Ng, 2002b).","The maximum entropy framework estimates probabilities based on the principle of making as few assumptions as possible, other than the constraints imposed.","Such constraints are derived from training data, expressing some relationship between features and outcome.",Single Citance
28,C02-1025.xml,W03-0423.xml,These lists are derived automatically from the training data.,Frequent Word List (FWL) This list consists of words that occur in more than 5 different documents.,"Useful Unigrams (UNI) For each name class, words that precede the name class are ranked using correlation metric (Chieu and Ng, 2002a), and the top 20 are compiled into a list.",Useful Bigrams (UBI) This list consists of bigrams of words that precede a name class.,"Examples are “CITY OF”, “ARRIVES IN”, etc. The list is compiled by taking bigrams with higher probability to appear before a name class than the unigram itself (e.g., “CITY OF” has higher probability to appear before a location than “OF”).",Single Citance
29,C02-1025.xml,W03-0423.xml,"For example, the ORG class often terminates with tokens such as INC and COMMITTEE, and the MISC class often terminates with CUP, OPEN, etc. Function Words (FUN) Lower case words that occur within a name class.","These include “van der”, “of”, etc. 3.2 Local Features.","The basic features used by both ME1 and ME2 can be divided into two classes: local and global (Chieu and Ng, 2002b).",Local features of a token w are those that are derived from the sentence containing w. Global features are derived by looking up other occurrences of w within the same document.,"In this paper, w−i refers to the ith word before w, and w+i refers to the ith word after w. The features used are similar to those used in (Chieu and Ng, 2002b).",Single Citance
30,C02-1025.xml,W03-0423.xml,"Case and Zone of w+1 and w−1 Similarly, if w+1 (or w−1 ) is initCaps, a feature (initCaps, zone)NEXT (or (initCaps, zone)PREV ) is set to 1, etc. Case Sequence Suppose both w−1 and w+1 are init- Caps.","Then if w is initCaps, a feature I is set to 1, else a feature N I is set to 1.","Token Information These features are based on the string w, such as contains-digits, contains-dollar-sign, etc (Chieu and Ng, 2002b).",Lexicon Feature The string of w is used as a feature.,This group contains a large number of features (one for each token string present in the training data).,Single Citance
31,C02-1025.xml,W03-0423.xml,"The basic features used by both ME1 and ME2 can be divided into two classes: local and global (Chieu and Ng, 2002b).",Local features of a token w are those that are derived from the sentence containing w. Global features are derived by looking up other occurrences of w within the same document.,"In this paper, w−i refers to the ith word before w, and w+i refers to the ith word after w. The features used are similar to those used in (Chieu and Ng, 2002b).","Local features include: First Word, Case, and Zone For English, each document is segmented by simple rules into 4 zones: headline (HL), author (AU), dateline (DL), and text (TXT).","To identify the zones, a DL sentence is first identified using a regular expression.",Single Citance
32,C02-1025.xml,W03-0432.xml,"Previous work in NER has been aware of this problem of dealing with words without accurate case information, and various workarounds have been exploited.","Most commonly, feature-based classifiers use a set of capitalisation features and a sentence-initial feature (Bikel et al., 1997).","Chieu and Ng used global information such as the occurrence of the same word with other capitalisation in the same document (Chieu and Ng, 2002a), and have also used a mixed-case classifier to teach a â€œweakerâ€ classifier that did not use case information at all (Chieu and Ng, 2002b).",We propose a different solution to the problem of case- less words.,"Rather than noting their lack of case and treating them separately, we propose to restore the correct capitalisation as a preprocessing step, allowing all words to be treated in the same manner.",Multi Citance
33,C02-1025.xml,W04-0705.xml,These combined methods yield an absolute improvement of about 3.1% in tagger F score.,"The problem of name recognition and classification has been intensively studied since1995, when it was introduced as part of the MUC 6 Evaluation (Grishman and Sundheim, 1996).","AMaximum Entropy methods (Borthwick et al. 1998, Chieu and Ng 2002)","However, the performance of even the best of these models1 has been limited by the amount of labeled training data available to them and the range of features which they employ.","In particular, most of these methods classify an instance of a name based on the information about that instance alone, and very local context of that instance – typically, one or 1 The best results reported for Chinese named entity recognition, on the MET-2 test corpus, are 0.92 to 0.95 F-measure for the different name types (Ye et al. 2002).",Multi Citance
34,C02-1025.xml,W04-0705.xml,8.4 Comparison to Cache Model.,"Some named entity systems use a name cache, in which tokens or complete names which have been previously assigned a tag are available as features in tagging the remainder of a document.","Other systems have made a second tagging pass which uses information on token sequences tagged in the first pass (Borthwick 1999), or have used as features information about features assigned to other instances of the same token (Chieu and Ng 2002).","Our system, while more complex, makes use of a richer set of global features, involving the detailed structure of individual mentions, and in particular makes use of both name – name and name – nominal relations.","We have compared the performance of our method (applied to single documents) with a voted cache model, which takes into account the number of times a particular name has been previously assigned each type of tag: System Precision Recall F baseline 88.8 90.5 89.1 voted cache 87.6 92.8 90.1 current 92.2 89.6 90.9 Table 9.",Multi Citance
35,C02-1025.xml,W06-0119.xml,"Conventionally, there are four approaches to develop a CWS: (1) Dictionary-based approach (Cheng et al. 1999), especial forward and backward maximum matching (Wong and Chan, 1996); (2) Linguistic approach based on syntax-semantic knowledge (Chen et al. 2002); (3) Statistical approach based on statistical language model (SLM) (Sproat and Shih, 1990; Teahan et al. 2000; Gao et al. 2003); and (4) Hybrid approach trying to combine the benefits of dictionary-based, linguistic and statistical approaches (Tsai et al. 2003; Ma and Chen, 2003).","In practice, statistical approaches are most widely used because their effective and reasonable performance.","To develop UWI, there are three approaches: (1) Statistical approach, researchers use common statistical features, such as maximum entropy (Chieu et al. 2002), association strength, mutual information, ambiguous matching, and multi-statistical features for unknown word detection and extraction;",Statistical approaches are simple and efficient whereas linguistic approaches are effective in identifying low frequency unknown words (Chen et al. 2002).,"To develop WSD, there are two major types of word segmentation ambiguities while there are no unknown word problems with them: (1) Overlap Ambiguity (OA).",Single Citance
36,C04-1089.xml,C10-1070.xml,"We also implemented the discounted log-odds (LO) described by (Evert, 2005, p. 86) in his work on collocation mining.","To our knowledge, this association measure has not been used yet in translation spotting.","It is computed as: (O11 + 1 )(O22 + 1 ) scribed in (Shao and Ng, 2004).","In this work, we examine the performance of the best configuration of parameters we found, combined with a simple heuristic based on graphic similarity between source and target terms, similar to the orthographic features in (Haghighi et al., 2008)’s generative model.","This is very specific to our task where medical terms often (but not always) share Latin or Greek roots, such as microvillosite´s in French and microvilli in English.",Pre Contiguous
37,C04-1089.xml,C10-2164.xml,This paper also attempts to apply the OOV term translation mechanism above in EnglishChinese CLIR.,"It can be observed from the experimental results on the data sets of Text Retrieval Evaluation Conference (TREC) that the obvious performance improvement for query translation can be obtained, which is very beneficial to CLIR and can improve the whole retrieval performance.","At present, the methods for OOV term translation have changed from the basic pattern based on bilingual dictionary, transliteration or parallel corpus to the intermediate pattern based on comparable corpus (Lee et al., 2006; Shao and Ng, 2004; Virga and Khudanpur, 2003), and 1435 Coling 2010: Poster Volume, pages 1435â€“1443, Beijing, August 2010 then become a new pattern based on Web mining (Fang et al., 2006; Sproat et al., 2006).","In recent years, many researchers have utilized Web to find the translation candidates on webpages (Wu and Chang, 2007).","AlOnaizan and Knight (2002) used Web statistics information to validate the translation candidates generated by language model, and obtained the accuracy of 72.6% in ArabicEnglish OOV word translation.",Multi Citance
38,C04-1089.xml,D10-1042.xml,2.2 Corpus-based Approaches.,"Corpus-based approach can mine arbitrary translation pairs, by mining bilingual co-occurrences from parallel and comparable bilingual corpora.","Using parallel corpora (Kupiec, 1993; Feng et al., 2004), e.g., bilingual Wikipedia entries on the same person, renders high accuracy but suffers from high scarcity.","Alternatively, (Lin et al., 2008) extracts bilingual co- occurrences from bilingual sentences, such as annotating terms with their corresponding translations in English inside parentheses.","Similarly, (Jiang et al., 2009) identifies potential translation pairs from bilingual sentences using lexical pattern analysis.",Multi Citance
39,C04-1089.xml,D12-1003.xml,"Various definitions for the context have been used: distance-based context (e.g. in a sentence (Laroche and Langlais, 2010), in a paragraph (Fung and McKeown, 1997), in a predefined window (Rapp, 1999; Andrade et al., 2010)), and syntactic-based context (e.g. predecessors and successors in dependency trees (Garera et al., 2009), certain dependency position (Otero and Campos, 2008)).","Some treated context words equally regardless of their positions (Fung and Yee, 1998), while others treated the words separately for each position (Rapp, 1999).","Various correlation measures have been used: log-likelihood ratio (Rapp, 1999; Chiao and Zweigenbaum, 2002), tfidf (Fung and Yee, 1998), pointwise mutual information (PMI) (Andrade et al., 2010), context heterogeneity (Fung, 1995), etc. Shao and Ng (2004) represented contexts using language models.",Andrade et al.(2010) used a set of words with a positive association as a context.,Andrade et al.(2011a) used dependency relations instead of context words.,Multi Citance
40,C04-1089.xml,D12-1003.xml,Fisˇer et al.(2011) and Kaji (2005) calculated 2-way similarities.,Step 3.Finding translation pairs: A pair of words is treated as a translation pair when their context similarity is high.,"Various clues have been considered when computing the similarities: concept class information obtained from a multilingual thesaurus (DeÂ´jean et al., 2002), co-occurrence models generated from aligned documents (Prochasson and Fung, 2011), and transliteration information (Shao and Ng, 2004).",2.1 Problems from Previous Works.,Most of previous methods used a seed bilingual lexicon for mapping modeled contexts in two different the method is not applicable for language pairs with different types of characters such as English and Japanese.,Multi Citance
41,C04-1089.xml,N09-1048.xml,"One is the purely monolingual corpora, wherein frequency-based expectation-maximization (EM, refer to (Dempster et al., 1977)) algorithms and cognate clues play a central role (Koehn and Knight, 2002).","Haghighi et al.(2008) presented a generative model based on canonical correlation analysis, in which monolingual features such as the context and orthographic substrings of words were taken into account.","The other is multilingual parallel and comparable corpora (e.g., Wikipedia1), wherein features such as co- occurrence frequency and context are popularly employed (Cheng et al., 2004; Shao and Ng, 2004; Cao et al., 2007; Lin et al., 2008).","In this paper, we focus on a special type of comparable corpus, parenthetical translations.","The issue is motivated by the observation that Web pages and technical papers written in Asian languages (e.g., Chinese, Japanese) sometimes annotate named entities or technical terms with their translations in English inside a pair of parentheses.",Multi Citance
42,C04-1089.xml,N09-1048.xml,"In order to deal with these problems, supervised (Cao et al., 2007) and unsupervised (Li et al., 2008) methods have been proposed.","However, supervised Numerous researchers have proposed a variety of automatic approaches to mine lexicons from the Web pages or other large-scale corpora.","Shao and Ng (2004) presented a method to mine new translations from Chinese and English news documents of the same period from different news agencies, combining both transliteration and context information.","Kuo et al.(2006) used active learning and unsupervised learning for mining transliteration lexicon from the Web pages, in which an EM process was used for estimating the phonetic similarities between English syllables and Chinese characters.","Cao et al.(2007) split parenthetical translation mining task into two parts, transliteration detection and translation detection.",Single Citance
43,C04-1089.xml,P06-1011.xml,"The Fragment-noLLR datasets bring no translation performance improvements; moreover, when the initial corpus is small (1M words) and the comparable corpus is noisy (BBC), the data has a negative impact on the BLEU score.","This indicates that LLRLex is a higher-quality lexicon than GIZALex, and an important component of our method.","Much of the work involving comparable corpora has focused on extracting word translations (Fung and Yee, 1998; Rapp, 1999; Diab and Finch, 2000; Koehn and Knight, 2000; Gaussier et al., 2004; Shao and Ng, 2004; Shinyama and Sekine, 2004).","Another related research effort is that of Resnik and Smith (2003), whose system is designed to discover parallel document pairs on the Web.","Our work lies between these two directions; we attempt to discover parallelism at the level of fragments, which are longer than one word but shorter than a document.",Multi Citance
